id;type;mission;name;organisation;city;bundesland;lat;lng;link;keywords;foerderung_eur;thumbnail_path;video_type;video_id;video_pin_order
101148374;point;cities;U_CAN;JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101148374;;184125;;;;
101079902;point;cities;ProLight;4WARD ENERGY RESEARCH GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101079902;;1830625;;;;
952103;point;cancer;EuCanImage;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/952103;;173425;;;;
101102011;point;waters;OFELIA;TECHNISCHE UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101102011;;653125;;;;
101226960;point;waters;ELEGANCE;ACIB GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101226960;;60508584;;;;
101214368;point;cancer;CANDLE;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101214368;;141250;;;;
101135705;point;climate;Edu4Standards.EU;LINK ROBERT;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101135705;;1335722857;;;;
101137223;point;climate;EU-CoWork;SORGENETZ | VEREIN ZUR FORDERUNG GESELLSCHAFTLICHER SORGEKULTUR.LEBEN / ALTER/ DEMENZ / STERBEN;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101137223;;107880;;;;
101072731;point;waters;DECADES;TECHNISCHE UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101072731;;5406624;;;;
101097036;point;cancer;ONCOSCREEN;EUROPAISCHE VEREINIGUNG DER GASTROINTESTINALEN ONKOLOGIE(EUROPEAN SOCIETY OF DIGESTIVE ONCOLOGY - ESDO);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101097036;;99875;;;;
101132379;point;cancer;EDENT1FI;MEDIZINISCHE UNIVERSITAT GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101132379;;96875;;;;
848196;point;cancer;DIAMONDS;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/848196;;86250;;;;
101182935;point;soil;FORADVISE;LANDESKAMMER FUER LAND UND FORTWIRTSCHAFT IN STEIERMARK;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101182935;;85825;;;;
101057721;point;climate;PROPHET;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101057721;;848125;;;;
101131190;point;cities;UDENE;Sinergise Solutions GmbH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101131190;;810625;;;;
101091246;point;soil;NBSoil;ALCHEMIA-NOVA GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101091246;Bodenberater:innen | Naturbasierte Lösungen| Bodenmanagement| Policy Navigator;760391;;;;
101138405;point;climate;Net4Cities;TECHNISCHE UNIVERSITAET GRAZ;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101138405;;71500;;;;
101036588;point;climate;ENOUGH;EQUANS Kältetechnik GmbH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101036588;;67500;;;;
857560;point;climate;CETOCOEN Excellence;BIOBANKS AND BIOMOLECULAR RESOURCES RESEARCH INFRASTRUCTURE CONSORTIUM (BBMRI-ERIC);Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/857560;;50000;;;;
101058093;point;climate;GENDERACTIONplus;BUNDESMINISTERIUM FUR BILDUNG;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101058093;;47925;;;;
101056836;point;climate;DISTENDER;AUSTRIATECH - GESELLSCHAFT DES BUNDES FUR TECHNOLOGIEPOLITISCHE MASSNAHMEN GMBH;Graz;Steiermark;47,0709;15,4383;http://cordis.europa.eu/project/id/101056836;;36430;;;;
